Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y,
5.720e-05,-5.6,-1.6
5.728e-05,-5.6,-1.56
5.736e-05,-5.6,-1.56
5.744e-05,-5.6,-1.52
5.752e-05,-5.4,-1.52
5.760e-05,-5.4,-1.52
5.768e-05,-5.4,-1.48
5.776e-05,-5.2,-1.48
5.784e-05,-5.2,-1.44
5.792e-05,-5.2,-1.44
5.800e-05,-5,-1.4
5.808e-05,-5,-1.44
5.816e-05,-5,-1.36
5.824e-05,-4.8,-1.4
5.832e-05,-4.8,-1.36
5.840e-05,-4.6,-1.32
5.848e-05,-4.6,-1.32
5.856e-05,-4.6,-1.28
5.864e-05,-4.6,-1.28
5.872e-05,-4.4,-1.24
5.880e-05,-4.4,-1.24
5.888e-05,-4.4,-1.2
5.896e-05,-4.2,-1.2
5.904e-05,-4.2,-1.16
5.912e-05,-4.2,-1.16
5.920e-05,-4,-1.12
5.928e-05,-4,-1.12
5.936e-05,-4,-1.08
5.944e-05,-3.8,-1.08
5.952e-05,-3.8,-1.04
5.960e-05,-3.6,-1.04
5.968e-05,-3.6,-1
5.976e-05,-3.4,-1
5.984e-05,-3.6,-0.96
5.992e-05,-3.4,-0.96
6.000e-05,-3.2,-0.92
6.008e-05,-3.2,-0.92
6.016e-05,-3.2,-0.92
6.024e-05,-3,-0.88
6.032e-05,-3,-0.84
6.040e-05,-3,-0.84
6.048e-05,-2.8,-0.8
6.056e-05,-2.8,-0.8
6.064e-05,-2.6,-0.76
6.072e-05,-2.8,-0.76
6.080e-05,-2.6,-0.72
6.088e-05,-2.6,-0.72
6.096e-05,-2.4,-0.68
6.104e-05,-2.4,-0.68
6.112e-05,-2.2,-0.64
6.120e-05,-2.2,-0.64
6.128e-05,-2,-0.64
6.136e-05,-2,-0.6
6.144e-05,-2,-0.56
6.152e-05,-1.8,-0.52
6.160e-05,-1.8,-0.52
6.168e-05,-1.6,-0.52
6.176e-05,-1.8,-0.48
6.184e-05,-1.6,-0.44
6.192e-05,-1.4,-0.44
6.200e-05,-1.4,-0.44
6.208e-05,-1.4,-0.4
6.216e-05,-1.2,-0.36
6.224e-05,-1.2,-0.36
6.232e-05,-1,-0.36
6.240e-05,-1,-0.32
6.248e-05,-0.8,-0.28
6.256e-05,-0.8,-0.28
6.264e-05,-0.8,-0.28
6.272e-05,-0.6,-0.2
6.280e-05,-0.6,-0.2
6.288e-05,-0.6,-0.16
6.296e-05,-0.4,-0.2
6.304e-05,-0.4,-0.12
6.312e-05,-0.4,-0.12
6.320e-05,-0.2,-0.08
6.328e-05,-0.2,-0.08
6.336e-05,0,-0.04
6.344e-05,0,-0.04
6.352e-05,0.2,0
6.360e-05,0.2,0
6.368e-05,0.2,0.04
6.376e-05,0.2,0.04
6.384e-05,0.4,0.08
6.392e-05,0.4,0.08
6.400e-05,0.6,0.12
6.408e-05,0.6,0.16
6.416e-05,0.6,0.16
6.424e-05,0.8,0.16
6.432e-05,0.8,0.2
6.440e-05,1,0.24
6.448e-05,1,0.28
6.456e-05,1,0.28
6.464e-05,1.2,0.32
6.472e-05,1.4,0.32
6.480e-05,1.2,0.32
6.488e-05,1.4,0.36
6.496e-05,1.4,0.4
6.504e-05,1.4,0.4
6.512e-05,1.6,0.4
6.520e-05,1.6,0.44
6.528e-05,1.6,0.44
6.536e-05,2,0.48
6.544e-05,2,0.52
6.552e-05,2,0.52
6.560e-05,2,0.56
6.568e-05,2.2,0.56
6.576e-05,2.4,0.6
6.584e-05,2.4,0.6
6.592e-05,2.4,0.64
6.600e-05,2.4,0.64
6.608e-05,2.6,0.68
6.616e-05,2.6,0.72
6.624e-05,2.8,0.72
6.632e-05,2.8,0.72
6.640e-05,2.8,0.76
6.648e-05,3,0.76
6.656e-05,3,0.8
6.664e-05,3,0.8
6.672e-05,3.2,0.84
6.680e-05,3.2,0.88
6.688e-05,3.2,0.88
6.696e-05,3.2,0.88
6.704e-05,3.4,0.92
6.712e-05,3.6,0.92
6.720e-05,3.6,0.96
6.728e-05,3.8,1
6.736e-05,3.8,1
6.744e-05,3.8,1.04
6.752e-05,4,1.04
6.760e-05,4,1.08
6.768e-05,4,1.08
6.776e-05,4.2,1.12
6.784e-05,4.2,1.12
6.792e-05,4.2,1.16
6.800e-05,4.4,1.16
6.808e-05,4.4,1.16
6.816e-05,4.4,1.24
6.824e-05,4.6,1.24
6.832e-05,4.8,1.24
6.840e-05,4.8,1.24
6.848e-05,4.8,1.28
6.856e-05,4.8,1.32
6.864e-05,4.8,1.32
6.872e-05,5,1.32
6.880e-05,5.2,1.36
6.888e-05,5,1.36
6.896e-05,5,1.4
6.904e-05,5.2,1.4
6.912e-05,5.2,1.44
6.920e-05,5.4,1.48
6.928e-05,5.4,1.48
6.936e-05,5.4,1.48
6.944e-05,5.4,1.52
6.952e-05,5.6,1.56
6.960e-05,5.8,1.56
6.968e-05,5.8,1.56
6.976e-05,5.8,1.56
6.984e-05,6,1.6
6.992e-05,6.2,1.64
7.000e-05,6.2,1.64
7.008e-05,6.2,1.64
7.016e-05,6.2,1.68
7.024e-05,6.2,1.68
7.032e-05,6.2,1.72
7.040e-05,6.4,1.72
7.048e-05,6.6,1.76
7.056e-05,6.4,1.76
7.064e-05,6.6,1.76
7.072e-05,6.6,1.8
7.080e-05,6.6,1.8
7.088e-05,6.8,1.84
7.096e-05,7,1.84
7.104e-05,6.8,1.88
7.112e-05,6.8,1.92
7.120e-05,7,1.92
7.128e-05,7.2,1.92
7.136e-05,7.2,1.96
7.144e-05,7.2,1.96
7.152e-05,7.2,1.96
7.160e-05,7.2,2
7.168e-05,7.4,1.96
7.176e-05,7.4,2
7.184e-05,7.6,2.04
7.192e-05,7.4,2.04
7.200e-05,7.6,2.04
7.208e-05,7.8,2.04
7.216e-05,7.6,2.08
7.224e-05,7.8,2.12
7.232e-05,7.8,2.12
7.240e-05,7.8,2.12
7.248e-05,7.8,2.12
7.256e-05,7.8,2.16
7.264e-05,8,2.16
7.272e-05,8,2.2
7.280e-05,8.2,2.2
7.288e-05,8,2.2
7.296e-05,8.2,2.2
7.304e-05,8.2,2.24
7.312e-05,8.2,2.24
7.320e-05,8.2,2.28
7.328e-05,8.4,2.28
7.336e-05,8.4,2.28
7.344e-05,8.4,2.28
7.352e-05,8.6,2.32
7.360e-05,8.6,2.36
7.368e-05,8.6,2.32
7.376e-05,8.6,2.36
7.384e-05,8.8,2.36
7.392e-05,8.6,2.4
7.400e-05,8.8,2.4
7.408e-05,8.8,2.4
7.416e-05,8.8,2.44
7.424e-05,8.8,2.44
7.432e-05,8.8,2.4
7.440e-05,8.8,2.44
7.448e-05,9,2.44
7.456e-05,9,2.44
7.464e-05,9,2.44
7.472e-05,9,2.48
7.480e-05,9,2.48
7.488e-05,9.2,2.48
7.496e-05,9.2,2.52
7.504e-05,9.2,2.52
7.512e-05,9.2,2.52
7.520e-05,9.2,2.52
7.528e-05,9.2,2.56
7.536e-05,9.4,2.56
7.544e-05,9.4,2.56
7.552e-05,9.4,2.56
7.560e-05,9.4,2.6
7.568e-05,9.6,2.6
7.576e-05,9.4,2.6
7.584e-05,9.6,2.6
7.592e-05,9.6,2.6
7.600e-05,9.6,2.64
7.608e-05,9.6,2.64
7.616e-05,9.6,2.64
7.624e-05,9.8,2.64
7.632e-05,9.6,2.64
7.640e-05,9.6,2.64
7.648e-05,9.6,2.68
7.656e-05,9.8,2.68
7.664e-05,9.6,2.68
7.672e-05,9.8,2.68
7.680e-05,9.8,2.72
7.688e-05,9.8,2.68
7.696e-05,9.8,2.72
7.704e-05,9.8,2.72
7.712e-05,9.8,2.72
7.720e-05,9.8,2.72
7.728e-05,10,2.76
7.736e-05,10,2.72
7.744e-05,10,2.76
7.752e-05,10,2.76
7.760e-05,10,2.76
7.768e-05,10,2.72
7.776e-05,10,2.76
7.784e-05,10,2.76
7.792e-05,10,2.76
7.800e-05,10,2.76
7.808e-05,10,2.76
7.816e-05,10,2.76
7.824e-05,10.2,2.76
7.832e-05,10,2.8
7.840e-05,10.2,2.8
7.848e-05,10.2,2.8
7.856e-05,10,2.8
7.864e-05,10.2,2.8
7.872e-05,10,2.8
7.880e-05,10.2,2.8
7.888e-05,10.2,2.8
7.896e-05,10.2,2.8
7.904e-05,10.2,2.8
7.912e-05,10.2,2.84
7.920e-05,10.2,2.8
7.928e-05,10.2,2.8
7.936e-05,10.2,2.8
7.944e-05,10.2,2.8
7.952e-05,10.2,2.8
7.960e-05,10.2,2.8
7.968e-05,10.2,2.8
7.976e-05,10.2,2.8
7.984e-05,10.2,2.8
7.992e-05,10,2.8

